,Current Courses,Wanted Courses
0,"['495', '485', '121']","['489', '483', '466', '481']"
1,"['466', '499', '223C', '476']","['495', '223H', '499', '454']"
2,['223N'],"['440', '301', '454', '476']"
3,"['499', '454', '463', '471', '464']","['332', '322L', '477', '454', '315']"
4,"['322L', '466', '332', '464']","['351', '223N', '223p', '322L']"
5,"['463', '476', '254', '471']","['121', '223J', '464', '386']"
6,"['499', '301', '386', '121']","['431', '439', '311']"
7,"['240', '491T', '452']","['335', '223H', '440']"
8,"['471', '466', '483', '431']","['485', '452', '332', '471', '483', '462']"
9,"['332', '466', '476', '335', '131']","['491T', '353', '456', '484', '483']"
10,"['466', '335', '463', '484']","['311', '473', '491T', '464', '486']"
11,"['332', '471']","['439', '351', '223N', '473']"
12,"['431', '483', '351']","['466', '322L', '476']"
13,"['254', '353', '495', '335']","['223J', '223H', '431', '254', '335']"
14,['362'],"['454', '315']"
15,"['466', '464', '439']","['489', '495', '440', '223H', '456']"
16,"['362', '476']","['223N', '483', '484', '462', '240']"
17,"['464', '131', '120', '466']","['240', '491T', '301', '315']"
18,"['323', '120', '223p', '301', '431']","['477', '491T']"
19,"['463', '121', '489', '223H', '491T']","['311', '313', '223C', '301']"
20,"['483', '477', '431', '464']",['481']
21,"['495', '463', '223C']","['473', '240', '481', '351']"
22,"['452', '362']","['462', '323', '439', '476', '223N']"
23,"['440', '353', '131', '322L']","['335', '489', '431', '483']"
24,"['477', '471', '351', '223J']","['491T', '240', '223C', '353', '477', '463']"
25,"['486', '351']","['489', '464', '120', '484']"
26,"['452', '466']","['463', '332', '491T', '483']"
27,"['223N', '332', '121', '464']","['477', '315', '335', '223H', '485']"
28,"['466', '464', '454', '485']","['386', '322L']"
29,"['240', '311', '477']","['484', '223p', '323']"
30,"['223H', '223N', '431', '386']","['240', '476', '301', '351', '439']"
31,"['484', '454', '499', '485', '332']","['332', '121', '491T', '323', '476']"
32,"['362', '223N', '121', '483']","['464', '484', '362', '486', '485']"
33,"['223p', '335', '484', '473']","['452', '499', '476', '466', '223J', '353']"
34,"['431', '477', '464', '476', '386']","['313', '463', '462']"
35,"['481', '131', '483', '463', '491T']","['466', '121', '431', '351', '323', '335']"
36,"['463', '322L', '323', '484', '462']","['223p', '486', '499', '466']"
37,"['485', '431', '491T', '464']",['254']
38,['495'],"['240', '313', '120', '121', '131']"
39,"['477', '431', '466']","['353', '471', '313']"
40,"['476', '463', '431', '495', '489']","['489', '332', '223N', '353', '322L', '240']"
41,"['485', '473', '464', '223H']","['439', '351', '335', '464', '322L', '386']"
42,"['476', '466', '477', '499', '351']","['315', '486', '332']"
43,"['240', '131', '223J', '489']","['240', '456', '462', '464']"
44,"['240', '315', '477', '335', '386']","['473', '471', '301', '223H']"
45,"['362', '313', '477', '254']","['223H', '351']"
46,"['462', '439', '323', '476', '440']","['473', '351', '463']"
47,"['483', '240', '463']","['315', '463', '223H', '301', '440', '454']"
48,"['464', '431', '495', '223N', '452', '476']","['353', '332', '131']"
49,"['452', '121', '481', '495']","['386', '431', '223p']"
50,"['456', '484', '439', '473']","['223H', '452', '223N', '353', '462']"
51,"['322L', '351', '131', '476']",['386']
52,"['471', '476', '351', '452']","['491T', '466', '223N', '452']"
53,"['454', '456', '484', '476', '223p']","['332', '464', '463', '491T', '121', '486']"
54,"['223p', '301', '476']","['499', '464', '223H', '223J']"
55,"['484', '332', '462', '386', '463']","['491T', '483', '473', '362', '335']"
56,"['386', '240', '223p', '486', '499', '489']","['463', '335', '323', '351']"
57,"['499', '462', '386']","['481', '462', '489', '313', '223J']"
58,"['223J', '323', '223C', '315']","['223N', '223H', '454', '313', '335']"
59,"['351', '471', '335', '240']",['485']
60,"['386', '351', '477', '223J', '473']","['473', '471', '313', '240']"
61,"['223H', '254', '462', '489', '323']","['477', '483', '315', '351', '473']"
62,['489'],"['386', '254', '486', '489', '240']"
63,"['464', '466', '351', '240']","['483', '477', '489', '311', '481']"
